Mod,Adds Reload Listeners,Adds Resource/Data Pack Finders,Auto-reloads Config Files,Automatic Testing,Custom 3D Models,Custom Advancements,Custom Animals,Custom Anvil Recipes,Custom Block Models,Custom Block Renderer,Custom Block Textures,Custom Blocks,Custom Brewing Recipes,Custom Client Commands,Custom Data Map Types,Custom Data Pack Sync,Custom Dimension Types,Custom Dimensions,Custom Entities,Custom Entity Attributes,Custom Entity Renderers,Custom GUI Screens,Custom GUI Textures,Custom Item Models,Custom Item Renderer,Custom Item Textures,Custom Items,Custom Key Mappings,Custom Loot Tables,Custom Mobs,Custom Model Loaders,Custom Network Packets,Custom Particles,Custom Potion Effects,Custom Recipe Types,Custom Recipes,Custom Registries,Custom Server Commands,Custom Shaders,Custom Structures,Custom Tag Assignments,Custom Tooltip Components,Custom World Generation,Handles Block Harvesting,Handles Chunk Loading,Handles Explosion Detonation,Handles Left Clicks with Empty Hands (Client-side),Handles Right Clicks with Empty Hands (Client-side),Handles Right Clicks with Items,Has Capability Providers,Has Commands,Listens to Bow Loose Events,Listens to Bow Nock Events,Listens to Chunk Load Events,Listens to Chunk Unload Events,Listens to Client Chat Messages,Listens to Dimension Change Events,Listens to Entity AI Target Change Events,Listens to Entity Block Destruction Events,Listens to Entity Breathing Events,Listens to Entity Damage Events,Listens to Entity Death Events,Listens to Entity Drop Events,Listens to Entity Equipment Change Events,Listens to Entity Fall Events,Listens to Entity Healing Events,Listens to Entity Interaction Events,Listens to Entity Interaction Events with Click Positions,Listens to Entity Item Use Events,Listens to Entity Join World Events,Listens to Entity Jump Events,Listens to Entity Knockback Events,Listens to Entity Shield Block Events,Listens to GUI Close Events,Listens to GUI Open Events,Listens to Inter-Mod Communication Events,Listens to Item Crafting Events,Listens to Item Pickup Events,Listens to Item Smelting Events,Listens to Left Click Block Events,Listens to Player Login Events,Listens to Player Logout Events,Listens to Potion Effect Added Events,Listens to Potion Effect Applicable Events,Listens to Potion Effect Expired Events,Listens to Potion Effect Removed Events,Listens to Recipe Updates,Listens to Right Click Block Events,Listens to Server About to Start Events,Listens to Server Chat Messages,Listens to Server Started Events,Listens to Server Starting Events,Listens to Server Stopped Events,Listens to Server Stopping Events,Listens to Tag Updates,Localization,Modifies Block Breaking,Modifies Block Breaking Speed,Modifies Block Placement,Modifies Default Components,Modifies Entity Spawning,Modifies Explosions,Modifies Farmland Trampling,Modifies GUI Rendering,Modifies Item Attributes,Modifies Methods,Modifies Tooltips,Modifies Villager Trades,Modifies Wandering Trader Trades,Modifies World Rendering,Patchouli Guide Book,Runs Client Tick Logic,Runs Entity Tick Logic,Runs Player Tick Logic,Runs Server Tick Logic,Runs World Tick Logic,Stores Data in World Saves,Uses Access Transformers,Uses Data Generators,Uses Data Maps,Uses Loot Modifiers,Uses Minecraft Functions
geckolib,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,
glassential,,,,,,,,,X,,X,X,,,,,,,,,,,,X,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
glodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
guideme,,,,,X,,,,,,X,,,,,,,,,,,X,,X,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,
holosigns,,,,,,X,,,X,,,X,,,,,,,,,,,,X,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,X,,,
hostilenetworks,X,,,,,,,,X,,X,X,,X,,X,,,,,,X,X,X,X,X,X,X,X,,,,,,,X,,X,,,X,X,,,,,,,,X,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,,,,,X,,,,,,X,X,,,
hpm,,,,,,,,,,,X,,,,,,,,X,X,X,X,,X,,X,X,X,,X,,,,,,,,X,,,X,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,X,X,,X,,,,,
ibicf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
iceberg,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,
illagerwarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,
immediatelyfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
immersiveengineering,,,X,,X,X,,X,X,X,X,X,,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,X,X,X,X,,,,,,X,,,,X,X,,,,,,,X,X,,,,,X,,X,X,,,,,,,X,,,X,,,,,,X,X,,,X,,,,X,X,,X,,,X,,,,,X,,X,,X,,X,X,X,X,X,X,,,,X,
immersivemessages,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
immersivetips,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
insomniacharm,,,X,,,,,,,,,,,,,,,,,,,,,X,,X,X,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
integratedcrafting,,,,X,,X,,,X,,,X,,,,,,,,,,X,X,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
integrateddynamics,,,,,X,X,,,X,X,X,X,,,,,,,X,,,X,X,X,X,X,X,,X,,X,,,,X,X,,,,,X,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,X,,,X,,,,
integrateddynamicscompat,,,,,X,X,,,X,X,X,X,,,,,,,X,,,X,X,X,X,X,X,,X,,X,,,,X,X,,,,,X,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,X,,,X,,,,
integratedterminals,,,,,,X,,,X,,X,X,,,,,,,,,,X,X,X,,X,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
integratedterminalscompat,,,,,,X,,,X,,X,X,,,,,,,,,,X,X,X,,X,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
integratedtunnels,,,,X,,X,,,X,,,X,,,,,,,X,,,X,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
integratedtunnelscompat,,,,X,,X,,,X,,,X,,,,,,,X,,,X,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
inventoryessentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
inventorysorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
iris,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
ironchest,,,,,,X,,,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,X,X,,,
irons_jewelry,,,X,,,,,,X,,X,X,,,,,,,,,,X,X,X,,X,X,,X,,,X,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,,,,X,,,X,,,,,X,,,,,,,X,,,,,,,,,,X,,X,X,,,,,X,,,,X,X,,X,
jade,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
jags,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,
jamlib,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
jei,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
jumbofurnace,,,,,,,,,X,,,X,,,,,,,,,,X,X,X,,,X,,X,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
justaraftmod,,,X,,,X,,,,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,
justdirethings,X,,,,,X,,,X,X,X,X,,,,,,,X,,X,X,X,X,X,X,X,X,X,,,,X,,X,,,,X,,X,,,,,,X,,,,,,,,,,,X,,,,X,X,,X,,X,,,X,X,,,,,,,,,X,,,,,,,X,,,,X,,,,,X,X,X,,,,,,,X,X,,,,X,X,X,X,,,,,X,X,,,
justzoom,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
konkrete,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
kotlinforforge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kubejs,X,X,,,,,,,X,,X,X,,,,X,,,X,,X,X,,X,,X,X,X,,,,X,X,X,X,,,X,X,,,,,,,X,X,,X,X,,,,,,,,,,,,X,X,,,,X,,,X,,,,,X,,X,X,X,X,X,X,,,,,,X,X,X,,X,X,X,X,,X,,X,,X,X,X,X,,X,,,,X,,X,,X,,X,,X,,,,
kubejs_actuallyadditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
kubejs_enderio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kubejs_mekanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kubeutils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
kuma_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laserio,,,,,,X,,,X,X,X,X,,,,,,,,,X,X,X,X,,X,X,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,X,,,,X,,,
legendarytooltips,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
lionfishapi,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
logbegone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
lootintegrations,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
lootintegrations_cataclysm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lootjs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
mcjtylib,,,,,X,,,,,,,X,,,,,,,,,,X,X,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,X,,,,X,,,X,X,X,,,
measurements,,,X,,,X,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,,,X,,,
megacells,,,,,X,X,,,X,,X,X,,,,,,,X,,,X,,X,,X,X,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
mekanism,,,,,X,,,,X,X,X,X,,,,,,,X,,X,X,,X,X,X,X,X,X,X,X,,X,,X,X,,,X,,X,,X,,X,,,,,,,,,X,X,,X,,,,X,,,,X,,,,,X,X,,,,,,,,,,X,X,,,,,X,X,,,,,,,,X,X,X,,,,,,X,,,,,,X,,X,X,X,X,X,X,X,X,,,
mekanismtools,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
melody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
merequester,,,,,,X,,,X,,X,X,,,,,,,,,,X,X,X,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
mininggadgets,,,,,,X,,,X,X,X,X,,,,,,,,,X,X,X,X,,X,X,X,X,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,X,,,
mob_grinding_utils,,,,,,,,,X,X,X,X,,,,,,,X,,,X,X,X,X,X,X,,X,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,X,,,,,,,X,,,,,X,X,,,
modernfix,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,X,,X,X,,,,,,,,,,X,,,,,,X,,,,,X,X,,,,
modernworldcreation,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
modonomicon,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,X,X,,,,X,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,X,,,
modularrouters,,,,,X,X,,,X,X,X,X,,,,,,,X,,X,X,X,X,,X,X,X,X,,,X,,,X,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,X,X,X,,,,X,,X,X,,,
moonlight,X,,,,X,,,,X,,,X,,,,X,,,X,,,,X,X,X,,X,,,X,X,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,X,,,,,,,,,,X,,,,,,,,,,,X,X,,,,
more_immersive_wires,,,X,,,X,,,X,,X,X,,,,,,,,,,,,X,,X,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
morejs,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
moreoverlays,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,X,,,,X,,X,,,,,,,,,,
morered,,,,,X,,,,X,X,X,X,,,,,,,,,,X,,X,,X,X,,X,,X,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,
mousetweaks,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_dungeons_andtavernsoceanmonumentreplacement,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
mru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysticalagradditions,,,,,,,,,X,,X,X,,,,,,,,,,,,X,,X,X,,X,,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,
mysticalagriculture,,,,,,,,,X,X,X,X,,,,X,,,,,X,X,X,X,,X,X,,X,,,X,,,X,X,,,,,X,X,X,,,,,,,X,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,X,,X,,,,X,,,X,,,,X,X,,,
mysticalcustomization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nautec,,,X,,,X,,,X,X,X,X,,,,,,,X,,,X,X,X,X,X,X,X,X,,,X,,,X,X,,X,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,X,,,,,,,,X,,,,,,X,X,X,,,,,X,,X,
neo_auth,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
neoforgedatapackextensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
nerb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,
nuggets,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
obsidianboat,,,,,,X,,,,,,,,,,,,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
obtrophies,,,,,,,,,X,X,X,X,,,,,,,,,,,X,X,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,X,
occultism,,,,,,X,X,,X,X,X,X,,,,,,,X,,X,X,X,X,,X,X,X,X,X,,,X,X,X,X,,X,,,X,,X,,,,,,,,X,,,,,,,,,,X,X,,,,,X,,,X,,,,,,,,X,,,,,,X,,,,X,,,,,,,,X,,X,,,,,,,,,,,,X,,,,X,,,,X,X,,X,
oceansdelight,,,,,,X,,,X,,X,X,,,,,,,,,,,,X,,X,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,X,
octolib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
oritech,,,,,,X,,,X,X,X,X,,,,,,,X,,X,X,,X,X,X,X,,X,,,,,,X,X,,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,X,X,,,,
owo,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
particle_core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
patchouli,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
pickletweaks,,,,,,,,,X,,X,X,,,,,,,,,,,,X,,X,X,,X,,,X,,,X,,,,,,X,,,,,,,,X,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,X,X,,,,,,,,,,,,,,,,X,,,,X,,,,
